"CountryCode","SeriesCode","DESCRIPTION",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARG","IS.RRS.PASG.KM","Source: OECD",
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARG","IT.CEL.SETS.P2","Comisión Nacional de Comunicaciones.",
"ARG","DT.DOD.DPNG.CD","Provincial debt for long-term private nonguaranteed debt data are World Bank staff estimates.",
"ARG","IT.MLT.MAIN","Comisión Nacional de Comunicaciones.",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","IT.NET.USER.ZS","Comisión Nacional de Comunicaciones.",
"ARG","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.DPRT","Includes overnight visitors (tourists) only.",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2021 are based on reports provided by the country. Short-term debt data for 2021 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds).",
"ARM","IS.RRS.GOOD.MT.K6","Source: OECD",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
